Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
27-Jan-15,124.4,"$1,288.50",96.03135,123.7364,124.361,$124.38,0.02%,9568477,24199961.07,752.7,3.12E+10
28-Jan-15,123.42,"$1,288.00",96.03028,123.687,123.423,$123.43,0.01%,8510219,24199961.07,752.7,3.12E+10
29-Jan-15,120.76,"$1,268.75",96.02863,121.8363,120.742,$120.73,-0.01%,11221332,24382415.46,758.37,3.09E+10
30-Jan-15,123.45,"$1,260.25",96.02731,121.0184,123.337,$123.47,0.11%,14664799,24382415.46,758.37,3.07E+10
2-Feb-15,122.42,"$1,272.50",96.02458,122.1913,122.393,$122.43,0.03%,8882575,24651284.29,766.73,3.14E+10
3-Feb-15,121.05,"$1,264.25",96.02323,121.3974,121.066,$121.07,0.00%,7598299,24593670.35,764.94,3.11E+10
4-Feb-15,121.58,"$1,268.50",96.02233,121.8043,121.588,$121.56,-0.02%,5383102,24689692.68,767.93,3.13E+10
5-Feb-15,121.79,"$1,259.25",96.02094,120.9144,121.735,$121.81,0.06%,6876799,24862530.37,773.31,3.13E+10
6-Feb-15,118.64,"$1,241.00",96.01919,119.1598,118.603,$118.65,0.04%,11441086,24862530.37,773.31,3.08E+10
9-Feb-15,119.17,"$1,238.50",96.01593,118.9157,119.156,$119.16,0.00%,4685502,24862530.37,773.31,3.08E+10
10-Feb-15,118.47,"$1,234.50",96.01471,118.5302,118.501,$118.48,-0.02%,4085261,24862530.37,773.31,3.07E+10
11-Feb-15,117.07,"$1,223.75",96.01318,117.4961,117.107,$117.08,-0.02%,6106249,24862530.37,773.31,3.04E+10
12-Feb-15,117.34,"$1,222.50",96.01207,117.3748,117.365,$117.33,-0.03%,4342604,24804923.13,771.51,3.03E+10
13-Feb-15,117.98,"$1,232.50",96.01148,118.3341,117.969,$117.96,-0.01%,3569423,24700421.88,768.26,3.04E+10
16-Feb-15,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
17-Feb-15,116.01,"$1,209.50",96.00675,116.1202,116.019,$116.03,0.01%,7217091,24700421.88,768.26,2.99E+10
18-Feb-15,116.34,"$1,206.00",96.00561,115.7828,116.272,$116.32,0.04%,8320428,24690821.32,767.96,2.98E+10
19-Feb-15,115.94,"$1,209.50",96.00465,116.1176,115.93,$115.96,0.03%,6525849,24738823.65,769.46,2.99E+10
20-Feb-15,115.28,"$1,208.25",96.00356,115.9963,115.358,$115.31,-0.04%,6679394,24796425.78,771.25,3.00E+10
23-Feb-15,115.43,"$1,204.50",96.0003,115.6324,115.416,$115.44,0.02%,4891839,24796425.78,771.25,2.99E+10
24-Feb-15,115.26,"$1,192.50",95.99889,114.4787,115.237,$115.26,0.02%,7634980,24796425.78,771.25,2.96E+10
25-Feb-15,115.7,"$1,204.75",95.99822,115.6538,115.697,$115.67,-0.02%,4608826,24796425.78,771.25,2.99E+10
26-Feb-15,116.07,"$1,208.25",95.99727,115.9887,116.022,$116.05,0.02%,4092808,24796425.78,771.25,2.99E+10
27-Feb-15,116.16,"$1,214.00",95.9964,116.5396,116.252,$116.19,-0.05%,6450281,24796425.78,771.25,3.01E+10
2-Mar-15,115.68,"$1,212.50",95.99319,116.3917,115.701,$115.70,0.00%,6977500,24546843.49,763.49,2.97E+10
3-Mar-15,115.47,"$1,212.75",95.99215,116.4145,115.459,$115.51,0.04%,4083419,24460450.55,760.8,2.97E+10
4-Mar-15,115.11,"$1,199.50",95.99061,115.1407,115.131,$115.12,-0.01%,4409508,24460450.55,760.8,2.93E+10
5-Mar-15,115,"$1,202.00",95.98965,115.3796,115.053,$115.04,-0.01%,4087856,24460450.55,760.8,2.94E+10
6-Mar-15,111.86,"$1,175.75",95.98756,112.8574,111.893,$111.87,-0.02%,11182291,24316469.21,756.32,2.86E+10
9-Mar-15,111.97,"$1,168.50",95.98409,112.1574,112.047,$111.99,-0.05%,5521960,24210886.72,753.04,2.83E+10
10-Mar-15,111.42,"$1,162.00",95.98274,111.5319,111.494,$111.44,-0.05%,5521960,24210886.72,753.04,2.81E+10
11-Mar-15,110.75,"$1,150.00",95.98112,110.3783,110.877,$110.77,-0.10%,6618492,24210886.72,753.04,2.78E+10
12-Mar-15,110.72,"$1,152.25",95.98018,110.5932,110.713,$110.70,-0.01%,6626352,24143700.59,750.95,2.78E+10
13-Mar-15,110.88,"$1,152.00",95.97912,110.5679,111.125,$110.89,-0.21%,4517410,24134783.84,750.67,2.78E+10
16-Mar-15,110.81,"$1,150.75",95.97594,110.4443,110.833,$110.84,0.01%,3057035,24134783.84,750.67,2.78E+10
17-Mar-15,110.21,"$1,150.75",95.97488,110.4431,110.333,$110.21,-0.11%,8477022,24048406.45,747.98,2.77E+10
18-Mar-15,112.37,"$1,147.25",95.97375,110.1059,112.059,$112.40,0.30%,12408067,24105990.7,749.77,2.76E+10
19-Mar-15,112.29,"$1,166.00",95.97315,111.9047,112.385,$112.30,-0.08%,6645042,24105990.7,749.77,2.81E+10
